City,Temperature,Humidity,Clouds,Windspeed,Latitude
Barrow,-28.99,76,0,3.6,71.2906
Carnarvon,27.04,74,81,5.66,-24.8667
Santa Cruz de Barahona,28.9,65,20,3.09,18.2085
Yellowknife,-38.99,77,20,2.06,62.456
Longyearbyen,-6.09,68,20,7.72,78.2186
Maniitsoq,-16.38,87,100,7.75,65.4167
Beringovskiy,-19.59,87,42,8.87,63.05
Hobart,11.73,73,75,2.57,-42.8794
Upernavik,-21.48,66,100,3.02,72.7868
Rikitea,25.23,74,47,3.16,-23.1203
Tongzi,5.05,87,97,1.04,28.7829
East London,32.52,66,0,2.06,-33.0153
Assiut,17.67,26,75,2.82,27.181
Asău,2.51,85,99,2.7,46.4333
Castro,24.82,66,77,1.95,-24.7911
São Filipe,23.93,69,0,7.11,14.8961
Cape Town,20.4,89,100,0.89,-33.9258
San Patricio,21.29,82,90,3.93,28.017
Vaini,23.09,94,40,1.54,-21.2
Kaeo,21.29,90,100,3.69,-35.1
Ürümqi,-18.47,85,48,1.0,43.801
Lompoc,7.03,49,0,4.12,34.6391
Puerto del Rosario,22.86,56,0,3.09,28.5004
Ribeira Grande,17.22,67,40,6.69,38.5167
New Norfolk,10.78,62,60,0.45,-42.7826
Albany,1.83,77,100,1.79,42.6001
Saskylakh,-33.72,100,35,1.23,71.9167
Pevek,-22.85,80,11,1.65,69.7008
San Juan,30.36,36,48,6.85,-31.5375
Baruun-Urt,-22.42,92,46,1.93,46.6806
Avarua,25.03,94,40,4.63,-21.2078
Qaanaaq,-30.99,66,31,3.83,77.484
Pontianak,25.55,88,20,0.0,-0.0333
Butaritari,27.17,82,91,7.76,3.0707
Chokurdakh,-26.62,99,77,3.3,70.6333
Parrita,29.63,53,2,2.55,9.5201
Mahébourg,27.16,89,75,15.43,-20.4081
Santa Cecília,29.22,35,20,0.78,-26.9608
Ushuaia,6.81,65,75,11.32,-54.8
Hong Kong,14.05,93,100,4.02,22.2855
Santo Antônio do Içá,29.09,70,97,1.92,-3.1022
Hermanus,22.67,73,16,10.41,-34.4187
Punta Arenas,9.01,87,75,3.6,-53.15
Talnakh,-18.22,98,95,2.8,69.4865
Dingle,23.13,95,98,3.61,10.9995
Narasapuram,22.41,73,34,3.3,16.45
Yerbogachën,-21.17,99,96,1.1,61.2767
Katherine,26.18,89,100,2.06,-14.4667
Bredasdorp,26.62,54,28,5.66,-34.5322
Dikson,-21.16,98,98,5.63,73.5069
Isangel,24.06,88,40,0.0,-19.55
Pingzhuang,-13.42,68,0,0.19,42.0372
Bluff,13.78,84,100,8.19,-46.6
Belaya Gora,-29.46,99,93,2.15,68.5333
Motygino,-15.21,98,97,0.66,58.1831
Zyryanka,-31.94,100,23,0.64,65.75
Ordzhonīkīdze,-5.53,96,100,3.48,52.4411
Atuona,25.57,79,73,7.88,-9.8
São José da Coroa Grande,29.83,59,38,4.07,-8.8978
Faanui,27.24,74,22,8.58,-16.4833
Iqaluit,-15.17,77,100,7.15,63.7506
Nikolskoye,-5.06,99,98,0.57,59.7035
Saint-Philippe,26.6,93,100,13.55,-21.3585
Merauke,24.08,87,100,2.41,-8.4667
Kaitangata,16.21,99,100,3.19,-46.2817
Metlaltoyuca,21.22,72,0,0.98,20.7333
Coyhaique,15.97,51,40,2.57,-45.5752
Carutapera,26.41,85,99,3.99,-1.195
San Cristobal,24.1,30,2,4.41,7.7669
Kapaa,19.21,75,75,0.45,22.0752
Sawtell,22.58,96,75,6.69,-30.3833
Mar del Plata,28.82,50,0,5.36,-38.0023
Pilibanga,16.91,33,32,5.23,29.4916
Geraldton,33.23,19,66,8.23,-28.7667
Sistranda,-1.02,66,99,8.48,63.7256
Fare,26.88,76,22,7.66,-16.7
Yakeshi,-33.15,100,85,1.51,49.2833
Thompson,-32.91,68,0,6.17,55.7435
Kahului,18.89,78,0,1.54,20.8947
Mataura,13.6,99,100,2.76,-46.1927
São João da Barra,29.05,86,100,1.49,-21.6403
Busselton,22.25,49,99,9.36,-33.65
Saldanha,20.03,83,100,5.03,-33.0117
Puerto Ayora,25.31,89,49,3.13,-0.7393
Hasaki,-1.78,35,1,1.62,35.7333
Khatanga,-39.3,99,54,0.79,71.9667
Yokadouma,33.82,18,51,0.87,3.5167
Ola,-14.4,81,96,4.94,59.5833
Seoul,-5.86,74,20,0.51,37.5683
Norman Wells,-36.98,67,75,1.03,65.282
Leh,-14.72,97,100,0.38,34.1667
Clyde River,-31.87,75,100,2.06,70.4692
Stodolishche,-4.34,96,100,4.21,54.1859
Port Elizabeth,24.16,83,20,9.26,-33.918
Severo-Kuril'sk,-2.29,87,97,3.72,50.6789
Gwadar,23.49,38,0,6.97,25.1216
Maţāy,16.46,28,32,2.98,28.419
Alta Floresta,29.9,70,75,1.03,-9.8756
Ayna,21.28,83,99,2.13,-12.65
Hithadhoo,28.11,70,44,3.82,-0.6
Esperance,16.91,70,0,7.04,-33.8667
Henties Bay,23.81,74,13,4.34,-22.116
Torbay,-2.0,78,40,2.06,47.6666
Broome,1.8,74,40,1.34,42.2506
Vardø,-2.01,80,75,8.75,70.3705
Barcelos,18.42,63,3,2.87,41.5388
Hai Duong,13.0,75,100,3.92,20.9333
Preobrazheniye,-9.63,64,4,3.99,42.9019
São Miguel do Araguaia,29.78,62,60,1.5,-13.275
Khandyga,-40.3,100,57,0.81,62.6667
Dagda,-3.71,91,100,1.4,56.0951
Hilo,18.32,76,100,4.12,19.7297
Gimli,-27.09,76,26,2.57,50.6336
Santa Maria,30.61,58,20,2.57,-29.6842
George Town,26.11,89,40,0.89,5.4112
Alençon,9.44,77,59,2.33,48.4333
Buala,26.2,86,100,3.09,-8.145
Mnogovershinnyy,-20.71,87,100,2.33,53.9353
Nanortalik,-14.54,79,6,7.32,60.1432
Dunedin,16.26,99,100,0.49,-45.8742
Cherskiy,-21.88,65,44,1.7,68.75
Nevers,8.84,87,100,2.57,46.9896
Hearst,-19.86,83,100,3.78,49.6835
Port Lincoln,17.34,66,84,4.94,-34.7333
Ilulissat,-20.37,92,99,3.97,69.2167
Port Alfred,28.35,69,97,0.99,-33.5906
Kumul,-4.97,31,49,1.0,42.8
Williston,-21.51,74,51,0.89,48.147
Dhule,25.64,24,32,1.88,20.9
Wolbrom,1.26,97,100,7.15,50.3796
Bethel,3.45,81,100,2.57,41.3712
Beni,24.46,49,98,1.87,0.5
Sibolga,25.5,83,100,1.38,1.7427
Great Yarmouth,11.08,86,99,5.73,52.6083
Praia,30.3,37,12,9.77,14.9215
Mana,27.8,70,44,4.89,5.6592
Majene,25.54,88,98,2.59,-3.5403
Petrovskoye,-8.23,96,100,3.08,57.0104
Cabo San Lucas,22.51,49,8,4.11,22.8909
Inuvik,-33.96,75,20,1.54,68.3499
St. George's,28.82,74,20,10.8,12.0564
Nehe,-25.6,96,71,2.02,48.4833
Fortuna,2.97,82,0,0.45,40.5982
Tibagi,27.38,59,91,2.3,-24.5094
The Pas,-30.99,69,0,6.17,53.8251
Tiznit Province,25.68,17,69,1.0,29.5833
Sfântu Gheorghe,-4.64,93,100,0.87,45.8667
Progreso,26.17,63,4,4.77,21.2833
Sambava,26.26,77,97,2.41,-14.2667
Darhan,-21.0,93,90,2.27,49.4867
Ponta do Sol,19.5,67,100,2.13,32.6667
Tuatapere,13.79,96,100,3.09,-46.1333
Arraial do Cabo,28.92,70,75,3.09,-22.9661
Arrondissement d'Ajaccio,11.99,72,0,2.06,42.0
Jamestown,3.71,34,100,6.17,42.097
Baykit,-20.19,100,100,0.39,61.67
Saint Paul Harbor,2.73,87,100,0.0,57.79
Husavik,-5.05,87,100,3.46,66.0449
Tezu,12.58,67,46,2.11,27.9167
Lata,20.79,42,5,2.76,40.1629
Ahipara,19.36,91,100,4.67,-35.1667
Pacific Grove,8.79,33,0,0.45,36.6177
Maumere,26.07,84,25,3.58,-8.6199
Leningradskiy,-25.36,96,36,4.73,69.3833
Kununurra,25.99,89,100,2.57,-15.7667
Wahpeton,-24.0,70,0,3.09,46.2652
Chilca,25.04,76,5,3.18,-12.5211
Okhotsk,-15.69,74,100,7.83,59.3833
Yumen,-5.41,29,100,1.05,40.2833
Emerald,25.08,100,100,3.6,-23.5333
Hollins,4.39,70,87,0.89,37.3413
Phuket,27.12,74,20,1.03,8.0
Enshi,1.76,93,91,0.38,30.3
Podgorenskiy,0.52,99,100,1.8,50.405
Penzance,9.54,81,75,4.12,50.1186
Alice Springs,18.75,94,100,4.12,-23.7
San Vicente,35.31,22,0,1.39,-26.6167
Kalmunai,24.51,72,2,2.89,7.4167
Chapais,-2.12,85,100,5.08,49.7834
Saint-Pierre,26.75,89,100,18.01,-21.3393
Inhambane,30.0,66,20,5.81,-23.865
Ramsar,9.69,93,0,0.0,36.9226
Kassala,30.2,27,34,5.9,15.451
Tasiilaq,-11.65,79,100,3.56,65.6145
Vila Franca do Campo,17.89,69,23,4.95,37.7167
Killybegs,9.84,88,100,6.03,54.6333
Olkhovka,-6.18,93,100,3.14,53.2115
Obihiro,-14.05,91,9,1.57,42.9172
Ko Samui,27.68,76,5,5.93,9.5357
Jacareacanga,24.9,86,99,0.47,-6.2222
Grindavik,0.26,59,75,5.66,63.8424
Dukat,-22.64,99,100,2.0,62.55
Chui,28.67,45,0,4.08,-33.6971
Nemuro,-5.64,78,22,4.55,43.3236
Alofi,22.94,94,89,1.03,-19.0595
Pisco,22.03,68,0,3.6,-13.7
San Carlos del Zulia,32.6,41,1,1.93,9.0
Hamilton,6.45,93,100,1.34,39.1834
Varna,1.24,100,100,1.54,43.2167
Lavrentiya,-19.18,79,1,7.24,65.5833
Takoradze,29.21,66,38,5.88,4.8845
Hualmay,24.18,70,2,5.11,-11.0964
Gravdal,-3.06,63,20,4.12,68.1214
Tairua,21.16,92,100,4.16,-37.0167
Yulara,17.91,82,100,5.66,-25.2406
Naze,13.59,86,100,7.63,28.3667
Tuktoyaktuk,-33.0,68,40,3.6,69.4541
Dzhankoy,6.03,96,100,2.95,45.7167
Richards Bay,27.6,73,22,7.26,-28.783
Kloulklubed,27.3,77,100,10.14,7.0419
Mehamn,-8.05,79,97,3.81,71.0357
Lima,24.1,79,0,0.45,-12.0432
Tessalit,24.45,8,0,7.3,20.1986
Meulaboh,26.05,77,100,1.12,4.1363
Caranavi,24.55,57,99,1.67,-15.8167
San Quintín,14.36,60,61,1.23,30.4833
Marathon,-15.95,68,100,0.45,44.9
Bintulu,25.51,88,20,1.34,3.1667
Xichang,2.47,97,100,1.57,27.8964
Kruisfontein,24.38,89,100,4.16,-34.0033
Mānsa,14.61,53,87,4.46,29.9833
Katsuura,5.64,56,69,2.38,35.1333
Valparaíso,20.41,63,0,2.57,-33.0393
Buraidah,17.25,27,0,3.67,26.326
Aracati,31.86,52,88,5.8,-4.5617
Agüimes,24.35,21,0,4.12,27.9054
Riverton,-6.99,84,0,1.34,40.5219
Lüderitz,20.65,76,15,3.93,-26.6481
Kuytun,-25.83,100,74,0.76,54.3419
Quthing,27.38,38,70,6.0,-30.4
Zhezkazgan,-15.32,88,96,2.64,47.8043
Zelenogorskiy,-9.71,100,89,0.77,55.0333
